timestamp,order_id,customer_id,product,category,quantity,unit_price,total_amount,discount,payment_method,order_status,shipping_cost,customer_country,sales_rep
2025-07-24T20:47:24.887690Z,ORD_117813,CUST_4633,Laptop,Beauty,4,42.93,171.72,0.0,PayPal,Shipped,20.95,France,Rep_10
2025-07-16T23:15:24.887690Z,ORD_533123,CUST_7836,T-Shirt,Home & Garden,2,524.03,1048.06,0.0,Credit Card,Cancelled,19.74,India,Rep_14
2025-08-14T15:24:24.887690Z,ORD_597730,CUST_8167,Shampoo,Home & Garden,2,911.63,1823.26,13.97,Debit Card,Processing,7.41,India,Rep_20
2025-09-12T02:44:24.887690Z,ORD_315836,CUST_7632,Car Parts,Home & Garden,2,669.45,1338.9,0.0,Apple Pay,Delivered,24.68,United States,Rep_13
2025-09-02T12:10:24.887690Z,ORD_299771,CUST_1399,Cookbook,Automotive,4,75.91,303.64,0.0,Google Pay,Completed,9.6,Japan,Rep_11
2025-08-19T22:55:24.887690Z,ORD_608121,CUST_5372,T-Shirt,Home & Garden,4,719.64,2878.56,25.38,Debit Card,Shipped,14.7,France,Rep_5
2025-08-05T08:17:24.887690Z,ORD_796100,CUST_8023,Football,Sports,4,645.07,2580.28,0.0,Apple Pay,Cancelled,14.41,India,Rep_10
2025-09-03T15:07:24.887690Z,ORD_599321,CUST_1412,Sofa,Home & Garden,1,397.84,397.84,0.0,Apple Pay,Refunded,22.94,United Kingdom,Rep_19
2025-08-07T21:27:24.887690Z,ORD_177824,CUST_6564,Smartphone,Automotive,5,495.25,2476.25,0.0,Bank Transfer,Delivered,9.31,Canada,Rep_8
2025-07-06T10:38:24.887690Z,ORD_597950,CUST_7429,T-Shirt,Clothing,5,874.01,4370.05,1.21,Debit Card,Processing,14.91,United Kingdom,Rep_1
2025-08-02T06:06:24.887690Z,ORD_722395,CUST_6802,Smartphone,Automotive,5,280.68,1403.4,0.0,Debit Card,Completed,24.84,India,Rep_9
2025-07-06T00:47:24.887690Z,ORD_590825,CUST_8463,Smartphone,Home & Garden,1,467.51,467.51,0.0,Credit Card,Delivered,20.05,Australia,Rep_12
2025-07-15T23:25:24.887690Z,ORD_551430,CUST_4074,Tires,Sports,5,134.21,671.05,0.0,Bank Transfer,Completed,21.11,Australia,Rep_3
2025-07-24T19:36:24.887690Z,ORD_397886,CUST_5904,Football,Automotive,4,184.64,738.56,0.0,Credit Card,Delivered,23.24,Japan,Rep_17
2025-07-12T05:33:24.887690Z,ORD_596332,CUST_1143,Football,Electronics,5,800.6,4003.0,0.0,Google Pay,Refunded,13.54,Australia,Rep_5
2025-07-03T10:54:24.887690Z,ORD_726958,CUST_7670,Sofa,Sports,4,171.54,686.16,0.0,Google Pay,Refunded,7.67,France,Rep_6
2025-09-04T09:45:24.887690Z,ORD_572848,CUST_3005,Basketball,Beauty,1,270.3,270.3,22.6,Apple Pay,Cancelled,15.85,United States,Rep_3
2025-07-12T11:50:24.887690Z,ORD_202379,CUST_7480,Car Parts,Electronics,2,27.31,54.62,1.84,Debit Card,Refunded,12.09,Germany,Rep_12
2025-07-16T17:31:24.887690Z,ORD_663592,CUST_4762,Football,Home & Garden,5,567.65,2838.25,42.53,Bank Transfer,Completed,10.93,Japan,Rep_2
2025-07-05T10:20:24.887690Z,ORD_776605,CUST_8607,Basketball,Automotive,5,498.58,2492.9,0.0,Credit Card,Refunded,20.31,Australia,Rep_3
2025-07-31T23:03:24.887690Z,ORD_888504,CUST_9504,Smartphone,Sports,2,539.58,1079.16,42.38,Debit Card,Delivered,9.66,Germany,Rep_7
2025-09-01T19:49:24.887690Z,ORD_785378,CUST_9589,Tires,Sports,2,669.08,1338.16,8.11,Credit Card,Completed,19.01,Japan,Rep_17
2025-07-08T21:18:24.887690Z,ORD_897867,CUST_9780,Laptop,Home & Garden,3,305.31,915.93,0.0,Credit Card,Shipped,9.14,Germany,Rep_12
2025-08-10T06:13:24.887690Z,ORD_891042,CUST_9896,Shampoo,Beauty,1,25.35,25.35,25.37,PayPal,Cancelled,11.99,United States,Rep_13
2025-08-05T06:35:24.887690Z,ORD_638027,CUST_6321,Tires,Books,5,422.26,2111.3,0.0,PayPal,Cancelled,24.39,Canada,Rep_9
2025-09-19T12:59:24.887690Z,ORD_957735,CUST_9386,Sofa,Sports,1,390.24,390.24,0.0,Debit Card,Refunded,24.21,Germany,Rep_1
