timestamp,sensor_id,sensor_type,location,value,unit,battery_level,signal_strength,device_status,alert_triggered,maintenance_due
2025-08-04T11:12:18.887690Z,SENSOR_8726,pressure,Office_Building,1024.94,hPa,60.4,-88,online,True,False
2025-08-24T14:40:52.887690Z,SENSOR_1689,humidity,Office_Building,78.62,%,81.9,-59,offline,False,False
2025-07-06T04:54:18.887690Z,SENSOR_1909,pressure,Warehouse_A,1010.17,hPa,21.7,-32,offline,False,False
2025-07-23T18:07:22.887690Z,SENSOR_1560,air_quality,Data_Center,116.33,AQI,83.9,-46,maintenance,False,True
2025-08-05T11:23:57.887690Z,SENSOR_9491,humidity,Office_Building,51.1,%,22.4,-72,online,False,False
2025-07-08T07:29:04.887690Z,SENSOR_8919,humidity,Data_Center,54.74,%,82.0,-86,maintenance,True,False
2025-08-05T14:43:02.887690Z,SENSOR_3382,humidity,Office_Building,50.07,%,19.1,-83,maintenance,False,False
2025-07-25T10:40:41.887690Z,SENSOR_6933,light,Factory_Floor_2,571.45,lux,96.3,-47,maintenance,False,False
2025-09-13T07:51:53.887690Z,SENSOR_5060,pressure,Office_Building,1007.26,hPa,29.0,-85,maintenance,False,False
2025-08-05T09:02:56.887690Z,SENSOR_5639,pressure,Data_Center,1007.74,hPa,10.4,-69,online,False,False
2025-07-29T15:59:38.887690Z,SENSOR_1246,humidity,Factory_Floor_2,88.69,%,46.7,-75,online,False,False
2025-07-06T10:10:27.887690Z,SENSOR_6886,pressure,Warehouse_B,1003.27,hPa,41.6,-56,offline,False,False
2025-06-26T19:10:42.887690Z,SENSOR_5409,temperature,Warehouse_A,20.63,°C,75.1,-77,maintenance,False,False
2025-09-15T05:52:14.887690Z,SENSOR_2204,pressure,Factory_Floor_1,1011.55,hPa,20.1,-60,offline,True,False
2025-06-30T17:18:47.887690Z,SENSOR_4062,air_quality,Office_Building,196.54,AQI,39.6,-76,maintenance,False,True
2025-07-23T01:28:16.887690Z,SENSOR_7501,motion,Office_Building,0.0,detected,97.5,-48,online,False,False
2025-08-01T19:57:02.887690Z,SENSOR_6478,pressure,Warehouse_A,1009.28,hPa,19.7,-83,maintenance,False,False
2025-07-31T00:03:34.887690Z,SENSOR_1996,pressure,Warehouse_B,1009.48,hPa,80.9,-72,offline,False,False
2025-08-10T12:15:39.887690Z,SENSOR_5450,humidity,Office_Building,89.94,%,32.6,-69,online,False,False
2025-09-04T13:52:45.887690Z,SENSOR_3790,light,Warehouse_A,253.55,lux,33.1,-46,maintenance,False,False
2025-09-08T04:55:23.887690Z,SENSOR_9785,motion,Warehouse_A,1.0,detected,13.5,-38,maintenance,False,False
2025-07-10T16:02:25.887690Z,SENSOR_3034,pressure,Office_Building,999.22,hPa,49.8,-79,offline,False,False
2025-09-20T00:18:15.887690Z,SENSOR_3318,temperature,Factory_Floor_1,21.62,°C,81.4,-89,maintenance,False,False
2025-08-13T13:24:15.887690Z,SENSOR_6918,light,Factory_Floor_2,282.98,lux,13.4,-36,maintenance,False,False
2025-08-30T15:08:21.887690Z,SENSOR_5970,light,Warehouse_B,836.33,lux,84.9,-89,online,False,False
2025-08-23T03:14:39.887690Z,SENSOR_1142,pressure,Office_Building,1016.45,hPa,70.8,-47,online,False,False
2025-06-30T23:15:40.887690Z,SENSOR_6509,air_quality,Factory_Floor_2,187.64,AQI,17.9,-85,online,False,False
2025-09-13T17:00:43.887690Z,SENSOR_4761,motion,Warehouse_B,1.0,detected,43.2,-90,maintenance,False,False
2025-06-30T03:58:19.887690Z,SENSOR_4646,motion,Warehouse_B,1.0,detected,91.1,-35,maintenance,False,False
2025-08-15T06:35:08.887690Z,SENSOR_8187,humidity,Factory_Floor_2,66.11,%,27.9,-59,offline,False,False
2025-09-09T08:16:43.887690Z,SENSOR_3877,motion,Factory_Floor_2,0.0,detected,58.1,-31,offline,False,False
2025-08-20T03:12:42.887690Z,SENSOR_4654,temperature,Factory_Floor_2,24.07,°C,89.8,-60,online,False,True
2025-08-01T09:57:06.887690Z,SENSOR_5349,humidity,Factory_Floor_2,33.61,%,87.3,-56,online,False,False
2025-07-06T17:38:58.887690Z,SENSOR_8646,pressure,Data_Center,1022.08,hPa,38.5,-34,offline,False,False
2025-08-07T05:01:01.887690Z,SENSOR_7806,humidity,Data_Center,33.0,%,42.4,-82,online,False,False
2025-08-03T23:55:24.887690Z,SENSOR_9166,air_quality,Factory_Floor_2,190.06,AQI,84.6,-59,online,False,False
2025-08-19T04:47:27.887690Z,SENSOR_2728,motion,Factory_Floor_2,1.0,detected,44.9,-61,maintenance,False,False
2025-08-03T06:17:25.887690Z,SENSOR_6379,humidity,Warehouse_B,53.04,%,16.8,-61,online,False,False
2025-08-14T19:30:28.887690Z,SENSOR_9311,humidity,Warehouse_B,50.63,%,25.9,-79,maintenance,False,False
2025-07-19T05:55:02.887690Z,SENSOR_4216,humidity,Factory_Floor_1,75.05,%,79.8,-61,offline,False,False
2025-08-06T20:54:54.887690Z,SENSOR_2715,temperature,Warehouse_A,25.4,°C,71.4,-64,online,False,False
2025-07-02T18:29:00.887690Z,SENSOR_8675,humidity,Warehouse_B,55.57,%,73.6,-32,offline,False,False
2025-07-17T15:29:35.887690Z,SENSOR_2849,air_quality,Data_Center,106.79,AQI,57.8,-78,online,False,False
2025-07-26T19:10:50.887690Z,SENSOR_6371,pressure,Office_Building,1001.72,hPa,86.5,-31,online,False,False
2025-09-19T12:08:11.887690Z,SENSOR_1923,light,Office_Building,425.44,lux,72.1,-31,online,False,False
2025-09-05T01:57:47.887690Z,SENSOR_9310,humidity,Data_Center,56.44,%,13.0,-72,online,False,False
2025-08-11T22:07:39.887690Z,SENSOR_5826,air_quality,Warehouse_A,194.91,AQI,30.1,-45,online,False,False
2025-09-21T14:16:16.887690Z,SENSOR_4949,temperature,Warehouse_A,27.02,°C,20.7,-40,maintenance,False,False
2025-08-07T04:04:58.887690Z,SENSOR_9714,air_quality,Data_Center,124.48,AQI,97.2,-85,maintenance,False,False
2025-07-27T17:11:04.887690Z,SENSOR_1834,pressure,Warehouse_A,993.7,hPa,34.9,-30,offline,False,False
2025-08-25T18:02:04.887690Z,SENSOR_2586,humidity,Warehouse_A,59.98,%,94.3,-34,maintenance,False,False
2025-09-22T16:32:57.887690Z,SENSOR_2155,air_quality,Warehouse_A,254.95,AQI,42.0,-47,offline,False,False
2025-09-05T05:50:26.887690Z,SENSOR_4363,motion,Warehouse_B,0.0,detected,16.0,-61,online,False,False
2025-07-07T16:30:23.887690Z,SENSOR_8280,humidity,Office_Building,77.27,%,68.5,-48,maintenance,False,False
2025-09-19T23:28:02.887690Z,SENSOR_5589,temperature,Warehouse_B,25.35,°C,29.3,-41,maintenance,False,False
2025-08-17T15:16:44.887690Z,SENSOR_2642,humidity,Office_Building,37.75,%,20.9,-88,maintenance,False,False
2025-09-17T23:11:45.887690Z,SENSOR_9650,light,Factory_Floor_2,938.04,lux,79.5,-73,offline,False,False
2025-07-19T17:21:28.887690Z,SENSOR_7137,air_quality,Factory_Floor_1,60.76,AQI,36.5,-72,online,False,False
2025-07-15T12:34:37.887690Z,SENSOR_1513,light,Office_Building,535.85,lux,29.9,-30,maintenance,False,False
2025-09-24T04:29:49.887690Z,SENSOR_7481,temperature,Office_Building,18.9,°C,57.8,-43,maintenance,False,False
2025-09-12T10:39:54.887690Z,SENSOR_2781,temperature,Warehouse_A,25.03,°C,80.7,-47,online,False,True
2025-09-07T18:11:10.887690Z,SENSOR_3610,air_quality,Office_Building,289.07,AQI,91.7,-54,maintenance,False,False
2025-08-02T16:38:35.887690Z,SENSOR_4669,humidity,Office_Building,47.84,%,95.0,-86,maintenance,False,False
2025-07-05T21:51:22.887690Z,SENSOR_9551,air_quality,Factory_Floor_2,158.18,AQI,48.5,-66,offline,False,False
2025-07-01T20:21:51.887690Z,SENSOR_7994,motion,Factory_Floor_2,0.0,detected,37.1,-76,offline,False,False
2025-09-14T12:20:24.887690Z,SENSOR_6815,air_quality,Warehouse_B,285.8,AQI,46.5,-84,offline,False,False
2025-08-19T03:54:55.887690Z,SENSOR_8044,light,Warehouse_B,757.93,lux,22.1,-49,maintenance,False,False
2025-07-26T20:59:07.887690Z,SENSOR_9190,light,Warehouse_B,54.73,lux,28.3,-43,online,False,False
2025-09-04T14:56:30.887690Z,SENSOR_1622,humidity,Office_Building,40.28,%,31.2,-84,online,False,False
2025-09-03T16:09:48.887690Z,SENSOR_7350,air_quality,Warehouse_B,192.69,AQI,68.5,-31,maintenance,False,False
2025-07-12T13:01:10.887690Z,SENSOR_8201,motion,Office_Building,0.0,detected,34.4,-66,maintenance,True,False
2025-07-06T14:59:23.887690Z,SENSOR_7407,motion,Office_Building,1.0,detected,57.3,-60,offline,False,False
2025-07-04T10:16:33.887690Z,SENSOR_8937,air_quality,Warehouse_B,182.34,AQI,66.0,-52,maintenance,False,False
2025-09-08T04:51:51.887690Z,SENSOR_6171,air_quality,Factory_Floor_2,161.34,AQI,77.5,-33,online,False,False
2025-09-19T06:13:30.887690Z,SENSOR_8220,pressure,Warehouse_B,1023.79,hPa,14.5,-59,offline,False,False
2025-09-15T12:01:00.887690Z,SENSOR_9897,humidity,Office_Building,69.22,%,42.5,-67,offline,False,False
2025-07-10T18:22:06.887690Z,SENSOR_2267,light,Office_Building,833.47,lux,56.2,-34,online,False,False
2025-07-20T06:37:30.887690Z,SENSOR_5965,motion,Factory_Floor_2,0.0,detected,60.7,-43,maintenance,False,False
2025-07-06T00:18:52.887690Z,SENSOR_3100,temperature,Factory_Floor_1,25.09,°C,53.3,-66,offline,True,False
2025-07-15T21:06:48.887690Z,SENSOR_8466,pressure,Factory_Floor_2,1014.32,hPa,63.4,-33,offline,False,False
2025-07-29T14:47:27.887690Z,SENSOR_5051,pressure,Office_Building,999.96,hPa,81.6,-55,maintenance,False,False
2025-09-01T15:48:24.887690Z,SENSOR_9630,temperature,Factory_Floor_2,19.79,°C,54.7,-51,online,False,False
2025-08-31T07:52:52.887690Z,SENSOR_8369,humidity,Factory_Floor_2,48.32,%,45.1,-31,online,False,False
2025-09-02T17:35:28.887690Z,SENSOR_2528,humidity,Factory_Floor_2,87.61,%,44.9,-33,online,False,False
2025-09-08T08:52:58.887690Z,SENSOR_5843,air_quality,Warehouse_B,275.26,AQI,96.0,-43,maintenance,False,False
2025-07-03T03:20:01.887690Z,SENSOR_9306,motion,Warehouse_B,0.0,detected,14.8,-80,maintenance,False,False
2025-09-07T14:03:54.887690Z,SENSOR_3053,humidity,Factory_Floor_2,42.47,%,89.8,-30,offline,False,False
2025-08-04T20:00:59.887690Z,SENSOR_5088,humidity,Data_Center,47.88,%,17.7,-35,online,False,False
2025-07-12T04:25:31.887690Z,SENSOR_5830,motion,Warehouse_A,0.0,detected,97.6,-44,online,True,False
